AID,SID,CID,Activity Outcome,Target Accession,Activity Name,Activity Qualifier,Activity Value [uM],Assay Name,Assay Type,PubMed ID,RNAi
493040,103905047,49830791,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905048,49830792,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905050,49830794,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905051,49830795,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905053,136027071,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905055,135543617,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905056,10296883,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905060,136027072,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905061,24952850,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905062,24952854,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905063,49830799,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905064,24952851,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905067,49830801,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905069,49830803,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905074,49830805,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905075,44593713,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905076,49830806,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905077,44588881,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905078,44588915,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905079,44412343,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905081,11987888,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905082,3541,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905084,15745966,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905091,49830813,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905092,49830814,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905094,49830816,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905095,49830817,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905096,49830818,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905097,49830819,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905100,3453573,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905102,2813676,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905103,3155438,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905106,10286133,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905112,123015,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905113,206042,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905114,49830823,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905117,24906268,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905119,49830824,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905120,49830825,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905121,49830826,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905123,324081,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905136,49830832,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905137,49830833,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905140,3133620,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905141,2044508,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905144,25205759,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905145,10391182,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905148,11293798,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905149,11430448,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905150,11362471,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905151,44444843,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905152,11397177,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905153,11784520,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905154,49830837,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905155,49830838,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905156,49830839,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905163,135564570,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905167,11715767,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905168,15745956,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905172,49830850,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905180,49830854,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905182,24755603,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905185,11846125,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905186,49830857,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905187,44611456,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905189,11624601,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905191,11846124,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905192,49830859,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905193,11539329,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905196,11640926,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905197,11590363,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905202,49830863,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905204,4306353,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905205,2831603,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905206,2868675,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905208,135444250,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905209,135435475,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905210,233113,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905212,49830865,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905215,21060786,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905219,15941392,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905231,10200390,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905233,10110877,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905237,49830874,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905238,16219401,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905247,11597571,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905248,11221493,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905250,49830876,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905251,49830877,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905252,49830878,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905253,5164,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905255,5166,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905256,9863367,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905259,49830880,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905260,10389239,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905263,49830881,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905265,49830883,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905266,49830884,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905267,49830885,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905277,5466794,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905283,404051,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905284,24203040,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905287,49830890,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905288,49830891,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905296,44186884,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905300,135465267,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905308,49830895,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905309,135566504,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905310,49830896,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905315,49830900,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905316,9549184,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905318,3449643,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905329,49830907,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905339,176870,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905340,9933475,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905342,3038522,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905343,123631,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905344,123631,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905345,16007391,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905352,613127,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905356,19959069,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905358,49830917,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905360,2727417,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905370,18516203,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905371,136027078,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905372,9946124,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905378,49830925,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905382,49830927,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905383,49830928,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905384,49830929,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905385,6539560,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905386,49830930,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905388,49830932,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905390,3547,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905391,23647201,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905398,49830938,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905407,49830944,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905409,2744272,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905413,49830947,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905414,11993789,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905419,9818231,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905420,22282869,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905424,49830951,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905425,695484,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905427,49830953,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905428,25263111,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905429,9826308,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905430,10409707,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905437,447873,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905441,6538897,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905442,49830958,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905443,49830959,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905444,49830960,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905447,3392643,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905449,49830963,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905453,49830966,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905455,16730109,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905463,11640390,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905464,11442386,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905471,44440493,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905472,16727123,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905481,1268887,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905482,136027083,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905485,22402079,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905487,3820,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905488,135398504,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905492,6263849,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905496,49830987,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905509,4121107,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905510,9814156,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905515,49830994,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905525,49830998,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905531,49831000,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905532,3501,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905536,49831002,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905539,3086685,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905540,49831004,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905543,3062316,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905546,25032704,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905547,25190453,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905548,151194,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905550,15314616,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905551,23829003,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905558,49831008,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905562,49831009,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905566,22557045,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905567,208908,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905568,208908,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905569,47001891,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905570,25002232,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905576,49831012,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905577,136027088,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905578,135566832,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905579,49831015,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905580,13452859,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905581,49831016,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905583,49831017,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905585,1568886,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905586,24995524,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905590,23882428,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905593,10364560,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905594,135497772,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905596,5291,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905597,23642173,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905598,24809769,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905603,49831024,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905605,49831025,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905607,135398512,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905608,21874004,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905614,9820195,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905618,2858816,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905619,49831031,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905621,5005498,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905622,9811611,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905625,11406590,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905628,3662552,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905630,3038525,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905632,24771867,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905636,15986273,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905640,9956119,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905641,49831037,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905648,5494449,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905649,11524200,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103905650,22413670,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905651,49831039,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905653,49831041,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905662,794531,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905665,136027090,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905667,13084523,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905670,3086686,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905674,16095342,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905676,9885023,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103905684,11713159,Inactive,,,,,Navigating the Kinome,Other,21336281,
588725,117686865,51003603,Inactive,NP_001005862,,,,Late stage counterscreen results from the probe development effort to identify inhibitors of kruppel-like factor 5 (KLF5): Radioactivity-based biochemical assay to identify modulators of a panel of 48 kinases,Other,,
588781,125333544,,Inactive,,,,,Protein Tyrosine Kinases siRNA Cell Polarization/Mechanosensitivity Screening Assay,Other,22081092,1
624099,56478506,,Inactive,,,,,An siRNA screen for human genes that are involved in human papilloma virus (HPV) E2 transcriptional repression of the E6 and E7 oncogenes,Other,20133580,1
651810,152153302,,Inactive,,,,,Genome-wide high-content siRNA screens for regulators of Parkin translocation in selective mitophagy (Dharmacon Library),Screening,24270810,1
651811,160773956,,Inactive,,,,,Genome-wide high-content siRNA screens for regulators of Parkin translocation in selective mitophagy (Ambion Library),Screening,24270810,1
651811,160774052,,Inactive,,,,,Genome-wide high-content siRNA screens for regulators of Parkin translocation in selective mitophagy (Ambion Library),Screening,24270810,1
651811,160774137,,Inactive,,,,,Genome-wide high-content siRNA screens for regulators of Parkin translocation in selective mitophagy (Ambion Library),Screening,24270810,1
686974,85267040,16190663,Inactive,AAO18082,,,,"Late stage assay provider results from the probe development effort to identify selective inhibitors of heat shock protein 90 (HSP90): Western blot analysis of Hsp90-dependent client proteins, Her2 and AKT",Other,,
686974,85267043,4988879,Inactive,AAO18082,,,,"Late stage assay provider results from the probe development effort to identify selective inhibitors of heat shock protein 90 (HSP90): Western blot analysis of Hsp90-dependent client proteins, Her2 and AKT",Other,,
686974,96079536,929904,Active,AAO18082,,,,"Late stage assay provider results from the probe development effort to identify selective inhibitors of heat shock protein 90 (HSP90): Western blot analysis of Hsp90-dependent client proteins, Her2 and AKT",Other,,
686974,96079537,949725,Active,AAO18082,,,,"Late stage assay provider results from the probe development effort to identify selective inhibitors of heat shock protein 90 (HSP90): Western blot analysis of Hsp90-dependent client proteins, Her2 and AKT",Other,,
686974,96079538,1565171,Active,AAO18082,,,,"Late stage assay provider results from the probe development effort to identify selective inhibitors of heat shock protein 90 (HSP90): Western blot analysis of Hsp90-dependent client proteins, Her2 and AKT",Other,,
686974,96079539,1417406,Active,AAO18082,,,,"Late stage assay provider results from the probe development effort to identify selective inhibitors of heat shock protein 90 (HSP90): Western blot analysis of Hsp90-dependent client proteins, Her2 and AKT",Other,,
686974,96079540,1417940,Inactive,AAO18082,,,,"Late stage assay provider results from the probe development effort to identify selective inhibitors of heat shock protein 90 (HSP90): Western blot analysis of Hsp90-dependent client proteins, Her2 and AKT",Other,,
686974,96079541,935372,Active,AAO18082,,,,"Late stage assay provider results from the probe development effort to identify selective inhibitors of heat shock protein 90 (HSP90): Western blot analysis of Hsp90-dependent client proteins, Her2 and AKT",Other,,
686974,96079542,1572025,Active,AAO18082,,,,"Late stage assay provider results from the probe development effort to identify selective inhibitors of heat shock protein 90 (HSP90): Western blot analysis of Hsp90-dependent client proteins, Her2 and AKT",Other,,
686974,115001717,1872661,Inactive,AAO18082,,,,"Late stage assay provider results from the probe development effort to identify selective inhibitors of heat shock protein 90 (HSP90): Western blot analysis of Hsp90-dependent client proteins, Her2 and AKT",Other,,
686974,115001718,3781338,Active,AAO18082,,,,"Late stage assay provider results from the probe development effort to identify selective inhibitors of heat shock protein 90 (HSP90): Western blot analysis of Hsp90-dependent client proteins, Her2 and AKT",Other,,
686974,115001719,3945091,Active,AAO18082,,,,"Late stage assay provider results from the probe development effort to identify selective inhibitors of heat shock protein 90 (HSP90): Western blot analysis of Hsp90-dependent client proteins, Her2 and AKT",Other,,
686974,115001720,921568,Active,AAO18082,,,,"Late stage assay provider results from the probe development effort to identify selective inhibitors of heat shock protein 90 (HSP90): Western blot analysis of Hsp90-dependent client proteins, Her2 and AKT",Other,,
686974,115001721,929897,Active,AAO18082,,,,"Late stage assay provider results from the probe development effort to identify selective inhibitors of heat shock protein 90 (HSP90): Western blot analysis of Hsp90-dependent client proteins, Her2 and AKT",Other,,
686974,115001722,930325,Active,AAO18082,,,,"Late stage assay provider results from the probe development effort to identify selective inhibitors of heat shock protein 90 (HSP90): Western blot analysis of Hsp90-dependent client proteins, Her2 and AKT",Other,,
686974,115001723,930700,Active,AAO18082,,,,"Late stage assay provider results from the probe development effort to identify selective inhibitors of heat shock protein 90 (HSP90): Western blot analysis of Hsp90-dependent client proteins, Her2 and AKT",Other,,
720703,152153302,,Active,,,,,AT1R-EGFR transactivation kinome screen - primary,Screening,24046455,1
720705,56475279,,Active,,,,,AT1R-EGFR transactivation kinome screen - secondary,Other,24046455,1
720705,56475280,,Active,,,,,AT1R-EGFR transactivation kinome screen - secondary,Other,24046455,1
720705,56475281,,Active,,,,,AT1R-EGFR transactivation kinome screen - secondary,Other,24046455,1
720705,56475282,,Active,,,,,AT1R-EGFR transactivation kinome screen - secondary,Other,24046455,1
743121,164363595,,Inactive,,,,,Druggable Genome siRNA Screen for Enhancers of Camptothecin in MDA-MB-231 Breast Cancer Cells,Screening,,1
743121,164363599,,Inactive,,,,,Druggable Genome siRNA Screen for Enhancers of Camptothecin in MDA-MB-231 Breast Cancer Cells,Screening,,1
743121,164363601,,Inactive,,,,,Druggable Genome siRNA Screen for Enhancers of Camptothecin in MDA-MB-231 Breast Cancer Cells,Screening,,1
743121,164363602,,Inactive,,,,,Druggable Genome siRNA Screen for Enhancers of Camptothecin in MDA-MB-231 Breast Cancer Cells,Screening,,1
743454,152153302,,Inactive,,,,,RNAi screen for vorinostat resistance genes - Primary Screen,Screening,25977774,1
1117269,152153302,,Inactive,,,,,Human kinome siRNA screen in A549-BTR and MDA-231-1833-BTR cells,Screening,25564677,1
1117281,160773956,,Inactive,,,,,A whole genome RNAi screen highlights components of the ER/Golgi as a prominent source of resistance to immunotoxin-mediated cytotoxicity,Screening,25713356,1
1117281,160774052,,Inactive,,,,,A whole genome RNAi screen highlights components of the ER/Golgi as a prominent source of resistance to immunotoxin-mediated cytotoxicity,Screening,25713356,1
1117281,160774137,,Inactive,,,,,A whole genome RNAi screen highlights components of the ER/Golgi as a prominent source of resistance to immunotoxin-mediated cytotoxicity,Screening,25713356,1
1117357,249379758,,Unspecified,,,,,InfectX: Pathogen infection siRNA screens,Screening,26445817,1
1117357,249379760,,Unspecified,,,,,InfectX: Pathogen infection siRNA screens,Screening,26445817,1
1117357,249379762,,Unspecified,,,,,InfectX: Pathogen infection siRNA screens,Screening,26445817,1
1117357,249380273,,Unspecified,,,,,InfectX: Pathogen infection siRNA screens,Screening,26445817,1
1117357,249380274,,Unspecified,,,,,InfectX: Pathogen infection siRNA screens,Screening,26445817,1
1117357,249380275,,Unspecified,,,,,InfectX: Pathogen infection siRNA screens,Screening,26445817,1
1117357,249380276,,Unspecified,,,,,InfectX: Pathogen infection siRNA screens,Screening,26445817,1
1117357,249380277,,Unspecified,,,,,InfectX: Pathogen infection siRNA screens,Screening,26445817,1
1117357,249405829,,Unspecified,,,,,InfectX: Pathogen infection siRNA screens,Screening,26445817,1
1117357,249477142,,Unspecified,,,,,InfectX: Pathogen infection siRNA screens,Screening,26445817,1
1117357,249477143,,Unspecified,,,,,InfectX: Pathogen infection siRNA screens,Screening,26445817,1
1117357,249484333,,Unspecified,,,,,InfectX: Pathogen infection siRNA screens,Screening,26445817,1
1159506,160773956,,Unspecified,,,,,Identification of proteins required for the processing of the EWS-FLI1 nascent transcript,Other,,1
1159506,160774052,,Unspecified,,,,,Identification of proteins required for the processing of the EWS-FLI1 nascent transcript,Other,,1
1159506,160774137,,Unspecified,,,,,Identification of proteins required for the processing of the EWS-FLI1 nascent transcript,Other,,1
1159578,255349541,,Inactive,,,,,A screen to identify genes that regulate lymphatic endothelial cell migration - Primary Screen,Screening,,1
1159584,152153302,,Inactive,,,,,A screen to identify synthetic lethal interactions with E-cadherin in an MCF10A isogenic cell line,Screening,25777964,1
1224830,315448547,,Inactive,,,,,Genome-wide siRNA screen of genes regulating the Lipopolysaccharide-induced TNF-alpha response in human macrophages_Primary screen TNF readout,Summary,,1
1259259,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (SW1463),Screening,28972570,1
1259260,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (NCIH716),Screening,28972570,1
1259261,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (HCC2998),Screening,28972570,1
1259264,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (CL40),Screening,28972570,1
1259266,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (LS123),Screening,28972570,1
1259267,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (GP5D),Screening,28972570,1
1259272,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (SW1116),Screening,28972570,1
1259274,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (RKO),Screening,28972570,1
1259275,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (COLO320HSR),Screening,28972570,1
1259276,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (C2BBE1),Screening,28972570,1
1259279,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (LS180),Screening,28972570,1
1259280,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (SNU407),Screening,28972570,1
1259281,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (COLO678),Screening,28972570,1
1259282,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (DIFI),Screening,28972570,1
1259283,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (HT115),Screening,28972570,1
1259284,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (SW48),Screening,28972570,1
1259285,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (HCC56),Screening,28972570,1
1259286,152153302,,Inactive,,,,,A screen to identify synergistic combinations in colorectal cancer - Primary Screen (NCIH630),Screening,28972570,1
